"Work Item Type","Title","Assigned To","Description","Acceptance Criteria","Tags"
"Task","T-QA-03 Implementar screenshots automaticas pass fail","","Capturar evidencia por escenario al finalizar ejecucion.","PNGs por test disponibles en carpeta artifacts screenshots.","task;screenshots;evidence"
"Task","T-QA-04 Generar reporte HTML consolidado","","Crear reporte ejecutable con estatus y enlaces a capturas.","Archivo report-task4.html creado con resumen de casos.","task;report;html"
"Task","T-QA-05 Crear run-task4-e2e con arranque y teardown","","Runner para levantar ng serve esperar readiness y ejecutar suite.","Comando unico test:e2e:task4 opera end to end.","task;runner;automation"
"Task","T-QA-06 Ajustar estabilidad headless para modales","","Corregir interceptaciones de click en checkbox y boton modal.","Suite completa pasa en Chrome headless sin flaky clicks.","task;stability;headless"
"Task","T-QA-07 Ejecutar suite task4 y validar exit code cero","","Ejecucion final validada en entorno local del repositorio.","Comando final reporta 5 escenarios ejecutados exitosamente.","task;execution;validation"
"Issue","Paquete de entrega para Azure DevOps","","Preparar import CSV con jerarquia completa de trabajo realizado.","CSV incluye epic features pbi historias tareas y bugs completados.","azure-devops;csv;delivery"
"Task","T-ADO-01 Crear CSV import_tarea4_completado base","","Archivo inicial de importacion para tablero Azure DevOps.","Se importa correctamente en backlog de proyecto.","task;csv;ado"
"Task","T-ADO-02 Expandir CSV con historico tecnico funcional","","Ampliar cobertura del CSV con avances beyond Selenium.","Incluye desktop updater frontend ci y qa completados.","task;historico;ado"
"Task","T-ADO-03 Marcar estado Done en items completados","","Mantener trazabilidad de trabajo ya ejecutado.","Todos los items relevantes listados en Done.","task;tracking;ado"
"Task","T-ADO-04 Vincular Parent para jerarquia backlog","","Asociar tasks e historias a features y epic principal.","Importacion refleja estructura de trabajo coherente.","task;hierarchy;ado"
"Task","T-DOC-01 Actualizar README con comandos task4","","Documentar ejecucion de suite y ubicacion de artefactos.","README incluye comando y rutas de reporte capturas.","task;documentation;readme"
"Task","T-DOC-02 Preparar insumos para video demostrativo","","Checklist para mostrar ejecucion de pruebas en video publico.","Video puede mostrar corrida y evidencia de resultados.","task;video;checklist"
